id,conversation_id,external_message_id,sender_type,sent_at,body_text,raw_message_data
1,1,synthetic:12e9a688681f9f9f75ae7800,unknown,2026-01-15 19:24:12.000000,Hey boss! Can I get one of these covers? I sent you an offer,"{""body"": ""Hey boss! Can I get one of these covers? I sent you an offer"", ""created_at"": ""2026-01-15T19:24:12-05:00"", ""author"": {""name"": ""Adam Fazio"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": false, ""photos"": []}"
2,1,synthetic:473972dcac0ba6b480672d5e,unknown,2026-01-15 19:24:55.000000,"This is for the vertical 212 marshal codes speaker cab, correct?","{""body"": ""This is for the vertical 212 marshal codes speaker cab, correct?"", ""created_at"": ""2026-01-15T19:24:55-05:00"", ""author"": {""name"": ""Adam Fazio"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": false, ""photos"": []}"
3,1,synthetic:c6aeb95a0bca71e20ff183a2,unknown,2026-01-03 01:18:06.000000,"Sorry about the delay . . .

Hello Willen Jean-Jules

All of our covers are custom-made upon placement of an order. Please review the following information:

Acoustic Gamma G25
Fabric: Choice Waterproof Fabric | No Padding
Color: Pitch-Black

Measurements: 
Width: 15.4""
Depth: 7.9""
Height: 15""

Top Depth: 7.25""

Top Amp Handle  Measurements:
10.5""L X 1.25""W offset 3.25"" from rear of amplifier.

Zipper Handle: No
2-in-1 Pick-Pocket: No
Priority Shipping: No

We use the manufacturer's information to custom-make your cover upon order. If anything looks wrong or you have concerns after you receive the item, please reach out to us.

Sincerely

Marc Stuart","{""body"": ""Sorry about the delay . . .\n\nHello Willen Jean-Jules\n\nAll of our covers are custom-made upon placement of an order. Please review the following information:\n\nAcoustic Gamma G25\nFabric: Choice Waterproof Fabric | No Padding\nColor: Pitch-Black\n\nMeasurements: \nWidth: 15.4\""\nDepth: 7.9\""\nHeight: 15\""\n\nTop Depth: 7.25\""\n\nTop Amp Handle  Measurements:\n10.5\""L X 1.25\""W offset 3.25\"" from rear of amplifier.\n\nZipper Handle: No\n2-in-1 Pick-Pocket: No\nPriority Shipping: No\n\nWe use the manufacturer's information to custom-make your cover upon order. If anything looks wrong or you have concerns after you receive the item, please reach out to us.\n\nSincerely\n\nMarc Stuart"", ""created_at"": ""2026-01-03T01:18:06-06:00"", ""author"": {""name"": ""Marc Stuart"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": true, ""photos"": []}"
4,1,synthetic:9e7c32580b0a1fcd0028a620,unknown,2026-01-07 02:24:19.000000,"Good news! 
Your custom-made cover is in our queue to be made.
You will receive an automated email very soon with a tracking number if you haven't already.

When a tracking # is issued, that means the cover is in our queue to be made and will be ready to ship soon. 
It can then take 24 - 48 hours from when it is issued to when the cover will be picked up, scanned and updated on the USPS/UPS/ or FEDEX website. 

This timing does not include holidays or weekends. However, it can also be updated before that as well.

If you’ve received a previous email from us confirming size & customization options and you have not responded,  we encourage you to still do so, ASAP.  Especially if there is something wrong with the information we have. Thanks!

We're glad we could help. If there are any problems at all with the cover, please contact us. We'll take care of you.

It has been a pleasure.

Marc Stuart
Gig Gear Covers","{""body"": ""Good news! \nYour custom-made cover is in our queue to be made.\nYou will receive an automated email very soon with a tracking number if you haven't already.\n\nWhen a tracking # is issued, that means the cover is in our queue to be made and will be ready to ship soon. \nIt can then take 24 - 48 hours from when it is issued to when the cover will be picked up, scanned and updated on the USPS/UPS/ or FEDEX website. \n\nThis timing does not include holidays or weekends. However, it can also be updated before that as well.\n\nIf you\u2019ve received a previous email from us confirming size & customization options and you have not responded,  we encourage you to still do so, ASAP.  Especially if there is something wrong with the information we have. Thanks!\n\nWe're glad we could help. If there are any problems at all with the cover, please contact us. We'll take care of you.\n\nIt has been a pleasure.\n\nMarc Stuart\nGig Gear Covers"", ""created_at"": ""2026-01-07T02:24:19-06:00"", ""author"": {""name"": ""Marc Stuart"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": true, ""photos"": []}"
5,1,synthetic:10d123570cc91c4df02ff3ea,unknown,2026-01-07 05:07:46.000000,"Hello Marc Stuart,

Thank you for the message

Your previous message regarding size and custom options is correct. I would just like the basic cover with no custom options.

Thanks
Willens Jean-Jules","{""body"": ""Hello Marc Stuart,\n\nThank you for the message\n\nYour previous message regarding size and custom options is correct. I would just like the basic cover with no custom options.\n\nThanks\nWillens Jean-Jules"", ""created_at"": ""2026-01-07T05:07:46-06:00"", ""author"": {""name"": ""Willens Jean-Jules"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": false, ""photos"": []}"
6,1,synthetic:7b5a25cc328247bf99bf6720,unknown,2026-01-03 00:21:52.000000,"Hello Brandon Woods

All of our covers are custom-made upon placement of an order. Please review the following information:

Blackstar Artisan 30H
Fabric: Choice Waterproof Fabric | No Padding
Color: Pitch-Black

Measurements: 
Width: 28.14""
Depth: 8.228""
Height: 11.378""
Zipper Handle: No
2-in-1 Pick-Pocket: No
Priority Shipping: No

We use the manufacturer's information to custom-make your cover upon order. If anything looks wrong or you have concerns after you receive the item, please reach out to us.

Sincerely

Marc Stuart","{""body"": ""Hello Brandon Woods\n\nAll of our covers are custom-made upon placement of an order. Please review the following information:\n\nBlackstar Artisan 30H\nFabric: Choice Waterproof Fabric | No Padding\nColor: Pitch-Black\n\nMeasurements: \nWidth: 28.14\""\nDepth: 8.228\""\nHeight: 11.378\""\nZipper Handle: No\n2-in-1 Pick-Pocket: No\nPriority Shipping: No\n\nWe use the manufacturer's information to custom-make your cover upon order. If anything looks wrong or you have concerns after you receive the item, please reach out to us.\n\nSincerely\n\nMarc Stuart"", ""created_at"": ""2026-01-03T00:21:52-07:00"", ""author"": {""name"": ""Marc Stuart"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": true, ""photos"": []}"
7,1,synthetic:f98af606690bf525f8ef700c,unknown,2026-01-03 10:23:44.000000,Hi!! What is a zipper cover?,"{""body"": ""Hi!! What is a zipper cover?"", ""created_at"": ""2026-01-03T10:23:44-07:00"", ""author"": {""name"": ""Brandon Woods"", ""_links"": {""avatar"": {""href"": ""https://rvb-img.reverb.com/i/s--JiX5WF3r--/q64c7lia0bjfmg5doytc.jpg""}}}, ""authored"": false, ""photos"": []}"
8,1,synthetic:3256513a3f9a232ee6220fb9,unknown,2026-01-03 10:33:38.000000,"Also, the depth measurement seems perfect but the height and width are slightly shorter than listed; I will double check either later tonight or early tomorrow morning","{""body"": ""Also, the depth measurement seems perfect but the height and width are slightly shorter than listed; I will double check either later tonight or early tomorrow morning"", ""created_at"": ""2026-01-03T10:33:38-07:00"", ""author"": {""name"": ""Brandon Woods"", ""_links"": {""avatar"": {""href"": ""https://rvb-img.reverb.com/i/s--JiX5WF3r--/q64c7lia0bjfmg5doytc.jpg""}}}, ""authored"": false, ""photos"": []}"
9,1,synthetic:64f750125109ee110bd5ff40,unknown,2026-01-04 18:06:36.000000,Those dimensions seem correct after measuring today :),"{""body"": ""Those dimensions seem correct after measuring today :)"", ""created_at"": ""2026-01-04T18:06:36-07:00"", ""author"": {""name"": ""Brandon Woods"", ""_links"": {""avatar"": {""href"": ""https://rvb-img.reverb.com/i/s--JiX5WF3r--/q64c7lia0bjfmg5doytc.jpg""}}}, ""authored"": false, ""photos"": []}"
10,1,synthetic:0cb98c69dd3af40bfbf6631c,unknown,2026-01-05 16:23:16.000000,"Great! The zipper cover allows the top amp handle to open and close with a zipper, offering more protection from water, spills, etc..","{""body"": ""Great! The zipper cover allows the top amp handle to open and close with a zipper, offering more protection from water, spills, etc.."", ""created_at"": ""2026-01-05T16:23:16-07:00"", ""author"": {""name"": ""Marc Stuart"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": true, ""photos"": []}"
11,1,synthetic:31ed8b45c11fbe316825c73e,unknown,2026-01-07 01:23:36.000000,"Good news! 
Your custom-made cover is in our queue to be made.
You will receive an automated email very soon with a tracking number if you haven't already.

When a tracking # is issued, that means the cover is in our queue to be made and will be ready to ship soon. 
It can then take 24 - 48 hours from when it is issued to when the cover will be picked up, scanned and updated on the USPS/UPS/ or FEDEX website. 

This timing does not include holidays or weekends. However, it can also be updated before that as well.

If you’ve received a previous email from us confirming size & customization options and you have not responded,  we encourage you to still do so, ASAP.  Especially if there is something wrong with the information we have. Thanks!

We're glad we could help. If there are any problems at all with the cover, please contact us. We'll take care of you.

It has been a pleasure.

Marc Stuart
Gig Gear Covers","{""body"": ""Good news! \nYour custom-made cover is in our queue to be made.\nYou will receive an automated email very soon with a tracking number if you haven't already.\n\nWhen a tracking # is issued, that means the cover is in our queue to be made and will be ready to ship soon. \nIt can then take 24 - 48 hours from when it is issued to when the cover will be picked up, scanned and updated on the USPS/UPS/ or FEDEX website. \n\nThis timing does not include holidays or weekends. However, it can also be updated before that as well.\n\nIf you\u2019ve received a previous email from us confirming size & customization options and you have not responded,  we encourage you to still do so, ASAP.  Especially if there is something wrong with the information we have. Thanks!\n\nWe're glad we could help. If there are any problems at all with the cover, please contact us. We'll take care of you.\n\nIt has been a pleasure.\n\nMarc Stuart\nGig Gear Covers"", ""created_at"": ""2026-01-07T01:23:36-07:00"", ""author"": {""name"": ""Marc Stuart"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": true, ""photos"": []}"
12,1,synthetic:73551cd153994dda18aad2f9,unknown,2025-12-31 16:33:16.000000,Will this fit a vintage Fender Princeton 6G2 like a 1963 amp? Also how do you specify the color I want a tan or brown cover? Thanks.,"{""body"": ""Will this fit a vintage Fender Princeton 6G2 like a 1963 amp? Also how do you specify the color I want a tan or brown cover? Thanks."", ""created_at"": ""2025-12-31T16:33:16-05:00"", ""author"": {""name"": ""Randy Poznan"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": false, ""photos"": []}"
13,1,synthetic:5c2941ac34ed9811b5fdc46f,unknown,2026-01-05 18:24:32.000000,"Hello:

Sorry for the delay. If you're still interested, please provide the exact measurements of your model.


Marc Stuart","{""body"": ""Hello:\n\nSorry for the delay. If you're still interested, please provide the exact measurements of your model.\n\n\nMarc Stuart"", ""created_at"": ""2026-01-05T18:24:32-05:00"", ""author"": {""name"": ""Marc Stuart"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": true, ""photos"": []}"
14,1,synthetic:56ff6eb701efce510bbbfbf2,unknown,2026-01-03 01:21:12.000000,"Hello Elizabeth Leedy

All of our covers are custom-made upon placement of an order. Please review the following information:

Marshall Origin 50 Head
Fabric: Choice Waterproof Fabric | No Padding
Color: Pitch-Black

Measurements: 
Width: 22.7""
Depth: 8.9""
Height: 9""


Top Amp Handle  Measurements:
11.25""L X 1""W is centered on top of the amplifier.

Zipper Handle: No
2-in-1 Pick-Pocket: No
Priority Shipping: No

We use the manufacturer's information to custom-make your cover upon order. If anything looks wrong or you have concerns after you receive the item, please reach out to us.

Sincerely

Marc Stuart","{""body"": ""Hello Elizabeth Leedy\n\nAll of our covers are custom-made upon placement of an order. Please review the following information:\n\nMarshall Origin 50 Head\nFabric: Choice Waterproof Fabric | No Padding\nColor: Pitch-Black\n\nMeasurements: \nWidth: 22.7\""\nDepth: 8.9\""\nHeight: 9\""\n\n\nTop Amp Handle  Measurements:\n11.25\""L X 1\""W is centered on top of the amplifier.\n\nZipper Handle: No\n2-in-1 Pick-Pocket: No\nPriority Shipping: No\n\nWe use the manufacturer's information to custom-make your cover upon order. If anything looks wrong or you have concerns after you receive the item, please reach out to us.\n\nSincerely\n\nMarc Stuart"", ""created_at"": ""2026-01-03T01:21:12-06:00"", ""author"": {""name"": ""Marc Stuart"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": true, ""photos"": []}"
15,1,synthetic:1fff39672d49da9e7c4432da,unknown,2026-01-03 12:23:34.000000,"Yes, that all looks good Marc. Thank you.","{""body"": ""Yes, that all looks good Marc. Thank you."", ""created_at"": ""2026-01-03T12:23:34-06:00"", ""author"": {""name"": ""Ellie Lee"", ""_links"": {""avatar"": {""href"": ""https://rvb-img.reverb.com/i/s--Xl760hS1--/u2kpz1t6vgqmgnjwk5ne.jpg""}}}, ""authored"": false, ""photos"": []}"
16,1,synthetic:ffc9ab5c660b0e80cb974795,unknown,2026-01-05 16:29:28.000000,"Good news! 
Your custom-made cover is in our queue to be made.
You will receive an automated email very soon with a tracking number if you haven't already.

When a tracking # is issued, that means the cover is in our queue to be made and will be ready to ship soon. 
It can then take 24 - 48 hours from when it is issued to when the cover will be picked up, scanned and updated on the USPS/UPS/ or FEDEX website. 

This timing does not include holidays or weekends. However, it can also be updated before that as well.

If you’ve received a previous email from us confirming size & customization options and you have not responded,  we encourage you to still do so, ASAP.  Especially if there is something wrong with the information we have. Thanks!

We're glad we could help. If there are any problems at all with the cover, please contact us. We'll take care of you.

It has been a pleasure.

Marc Stuart
Gig Gear Covers","{""body"": ""Good news! \nYour custom-made cover is in our queue to be made.\nYou will receive an automated email very soon with a tracking number if you haven't already.\n\nWhen a tracking # is issued, that means the cover is in our queue to be made and will be ready to ship soon. \nIt can then take 24 - 48 hours from when it is issued to when the cover will be picked up, scanned and updated on the USPS/UPS/ or FEDEX website. \n\nThis timing does not include holidays or weekends. However, it can also be updated before that as well.\n\nIf you\u2019ve received a previous email from us confirming size & customization options and you have not responded,  we encourage you to still do so, ASAP.  Especially if there is something wrong with the information we have. Thanks!\n\nWe're glad we could help. If there are any problems at all with the cover, please contact us. We'll take care of you.\n\nIt has been a pleasure.\n\nMarc Stuart\nGig Gear Covers"", ""created_at"": ""2026-01-05T16:29:28-06:00"", ""author"": {""name"": ""Marc Stuart"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": true, ""photos"": []}"
17,1,synthetic:c88a8204127490d93ab254fc,unknown,2026-01-05 17:11:04.000000,Thank you❤️🎼❤️,"{""body"": ""Thank you\u2764\ufe0f\ud83c\udfbc\u2764\ufe0f"", ""created_at"": ""2026-01-05T17:11:04-06:00"", ""author"": {""name"": ""Ellie Lee"", ""_links"": {""avatar"": {""href"": ""https://rvb-img.reverb.com/i/s--Xl760hS1--/u2kpz1t6vgqmgnjwk5ne.jpg""}}}, ""authored"": false, ""photos"": []}"
18,1,synthetic:0bab9b23702ac23a63b3c61f,unknown,2026-01-03 01:19:38.000000,"Sorry about the delay . . .

Hello Gary Collie

All of our covers are custom-made upon placement of an order. Please review the following information:

Fender Rumble 800 Combo
Fabric: Choice Waterproof Fabric | No Padding
Color: Pitch-Black

Measurements: 
Width: 19""
Depth: 14""
Height: 23.7""


Top Amp Handle  Measurements:
9""L X 1.25""W offset 7.5"" from rear of amplifier.

Zipper Handle: No
2-in-1 Pick-Pocket: No
Priority Shipping: No

We use the manufacturer's information to custom-make your cover upon order. If anything looks wrong or you have concerns after you receive the item, please reach out to us.

Sincerely

Marc Stuart","{""body"": ""Sorry about the delay . . .\n\nHello Gary Collie\n\nAll of our covers are custom-made upon placement of an order. Please review the following information:\n\nFender Rumble 800 Combo\nFabric: Choice Waterproof Fabric | No Padding\nColor: Pitch-Black\n\nMeasurements: \nWidth: 19\""\nDepth: 14\""\nHeight: 23.7\""\n\n\nTop Amp Handle  Measurements:\n9\""L X 1.25\""W offset 7.5\"" from rear of amplifier.\n\nZipper Handle: No\n2-in-1 Pick-Pocket: No\nPriority Shipping: No\n\nWe use the manufacturer's information to custom-make your cover upon order. If anything looks wrong or you have concerns after you receive the item, please reach out to us.\n\nSincerely\n\nMarc Stuart"", ""created_at"": ""2026-01-03T01:19:38-06:00"", ""author"": {""name"": ""Marc Stuart"", ""_links"": {""avatar"": {""href"": ""https://static.reverb-assets.com/assets/avatars/default-25153ae39d615d4d2253fd9be9e26489435c8e6fd165451ca51e90422c3d0881.jpg""}}}, ""authored"": true, ""photos"": []}"
