id,model_id,sku,material_id,material_colour_surcharge_id,design_option_ids,pricing_option_ids,is_parent,retail_price_cents,created_at,updated_at,with_padding,role_key
1,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000CpbkP,4,2,[14],[],0,,2026-01-25 05:28:21.521275,2026-01-27 03:01:52.824953,0,CHOICE_WATERPROOF_FABRIC
2,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CpbkP,4,2,[14],[],0,,2026-01-25 05:28:21.521285,2026-01-27 03:01:52.824958,0,CHOICE_WATERPROOF_FABRIC
3,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000CGpbkP,4,2,[14],[],0,,2026-01-25 07:49:35.756176,2026-01-27 03:01:52.824961,1,CHOICE_WATERPROOF_FABRIC
4,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000LpbkP,5,1,[14],[],0,,2026-01-25 07:52:04.250798,2026-01-27 03:01:52.824963,0,PREMIUM_SYNTHETIC_LEATHER
5,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000LferP,5,4,[14],[],0,,2026-01-25 07:52:04.296284,2026-01-27 03:01:52.824966,0,PREMIUM_SYNTHETIC_LEATHER
6,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000LmbrP,5,3,[14],[],0,,2026-01-25 07:52:04.579601,2026-01-27 03:01:52.824968,0,PREMIUM_SYNTHETIC_LEATHER
7,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000LGpbkP,5,1,[14],[],0,,2026-01-25 07:52:04.626557,2026-01-27 03:01:52.824970,1,PREMIUM_SYNTHETIC_LEATHER
8,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000LGferP,5,4,[14],[],0,,2026-01-25 07:52:04.907491,2026-01-27 03:01:52.824972,1,PREMIUM_SYNTHETIC_LEATHER
9,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000LGmbrP,5,3,[14],[],0,,2026-01-25 07:52:04.955262,2026-01-27 03:01:52.824974,1,PREMIUM_SYNTHETIC_LEATHER
10,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CGpbkP,4,2,[14],[],0,,2026-01-25 07:59:44.890702,2026-01-27 03:01:52.824976,1,CHOICE_WATERPROOF_FABRIC
11,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LpbkP,5,1,[14],[],0,,2026-01-25 07:59:45.141991,2026-01-27 03:01:52.824978,0,PREMIUM_SYNTHETIC_LEATHER
12,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LGpbkP,5,1,[14],[],0,,2026-01-25 07:59:45.221013,2026-01-27 03:01:52.824980,1,PREMIUM_SYNTHETIC_LEATHER
13,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CpblP,4,5,[14],[],0,,2026-01-25 08:01:07.234354,2026-01-27 03:01:52.824982,0,CHOICE_WATERPROOF_FABRIC
14,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CGpblP,4,5,[14],[],0,,2026-01-25 08:01:07.561291,2026-01-27 03:01:52.824984,1,CHOICE_WATERPROOF_FABRIC
15,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LferP,5,4,[14],[],0,,2026-01-25 08:05:44.195735,2026-01-27 03:01:52.824986,0,PREMIUM_SYNTHETIC_LEATHER
16,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LmbrP,5,3,[14],[],0,,2026-01-25 08:05:44.461098,2026-01-27 03:01:52.824988,0,PREMIUM_SYNTHETIC_LEATHER
17,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LGferP,5,4,[14],[],0,,2026-01-25 08:05:44.786004,2026-01-27 03:01:52.824990,1,PREMIUM_SYNTHETIC_LEATHER
18,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LGmbrP,5,3,[14],[],0,,2026-01-25 08:05:44.847650,2026-01-27 03:01:52.824992,1,PREMIUM_SYNTHETIC_LEATHER
19,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000Cpbk,4,2,[],[],0,,2026-01-25 08:11:12.869967,2026-01-27 03:01:52.824994,0,CHOICE_WATERPROOF_FABRIC
20,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000Cpbk,4,2,[],[],0,,2026-01-25 08:11:12.869978,2026-01-27 03:01:52.824996,0,CHOICE_WATERPROOF_FABRIC
21,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000Cpbl,4,5,[],[],0,,2026-01-25 08:11:13.192469,2026-01-27 03:01:52.824998,0,CHOICE_WATERPROOF_FABRIC
22,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000Cpbl,4,5,[],[],0,,2026-01-25 08:11:13.192479,2026-01-27 03:01:52.824999,0,CHOICE_WATERPROOF_FABRIC
23,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000CpblP,4,5,[14],[],0,,2026-01-25 08:11:13.455969,2026-01-27 03:01:52.825001,0,CHOICE_WATERPROOF_FABRIC
24,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000CGpbk,4,2,[],[],0,,2026-01-25 08:11:13.519394,2026-01-27 03:01:52.825002,1,CHOICE_WATERPROOF_FABRIC
25,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CGpbk,4,2,[],[],0,,2026-01-25 08:11:13.519404,2026-01-27 03:01:52.825003,1,CHOICE_WATERPROOF_FABRIC
26,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000CGpbl,4,5,[],[],0,,2026-01-25 08:11:13.845426,2026-01-27 03:01:52.825005,1,CHOICE_WATERPROOF_FABRIC
27,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CGpbl,4,5,[],[],0,,2026-01-25 08:11:13.845431,2026-01-27 03:01:52.825007,1,CHOICE_WATERPROOF_FABRIC
28,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000CGpblP,4,5,[14],[],0,,2026-01-25 08:11:14.112399,2026-01-27 03:01:52.825009,1,CHOICE_WATERPROOF_FABRIC
29,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000Lpbk,5,1,[],[],0,,2026-01-25 08:11:14.172720,2026-01-27 03:01:52.825011,0,PREMIUM_SYNTHETIC_LEATHER
30,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000Lpbk,5,1,[],[],0,,2026-01-25 08:11:14.172728,2026-01-27 03:01:52.825013,0,PREMIUM_SYNTHETIC_LEATHER
31,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000Lfer,5,4,[],[],0,,2026-01-25 08:11:14.503502,2026-01-27 03:01:52.825015,0,PREMIUM_SYNTHETIC_LEATHER
32,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000Lfer,5,4,[],[],0,,2026-01-25 08:11:14.503512,2026-01-27 03:01:52.825017,0,PREMIUM_SYNTHETIC_LEATHER
33,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000Lmbr,5,3,[],[],0,,2026-01-25 08:11:14.830402,2026-01-27 03:01:52.825020,0,PREMIUM_SYNTHETIC_LEATHER
34,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000Lmbr,5,3,[],[],0,,2026-01-25 08:11:14.830412,2026-01-27 03:01:52.825022,0,PREMIUM_SYNTHETIC_LEATHER
35,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000LGpbk,5,1,[],[],0,,2026-01-25 08:11:15.155016,2026-01-27 03:01:52.825024,1,PREMIUM_SYNTHETIC_LEATHER
36,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LGpbk,5,1,[],[],0,,2026-01-25 08:11:15.155026,2026-01-27 03:01:52.825026,1,PREMIUM_SYNTHETIC_LEATHER
37,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000LGfer,5,4,[],[],0,,2026-01-25 08:11:15.477517,2026-01-27 03:01:52.825028,1,PREMIUM_SYNTHETIC_LEATHER
38,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LGfer,5,4,[],[],0,,2026-01-25 08:11:15.477527,2026-01-27 03:01:52.825030,1,PREMIUM_SYNTHETIC_LEATHER
39,3,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000LGmbr,5,3,[],[],0,,2026-01-25 08:11:15.797315,2026-01-27 03:01:52.825031,1,PREMIUM_SYNTHETIC_LEATHER
40,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LGmbr,5,3,[],[],0,,2026-01-25 08:11:15.797320,2026-01-27 03:01:52.825033,1,PREMIUM_SYNTHETIC_LEATHER
41,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CpbkPZ,4,2,"[14, 15]",[],0,,2026-01-25 08:13:42.976274,2026-01-27 03:01:52.825035,0,CHOICE_WATERPROOF_FABRIC
42,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CGpbkPZ,4,2,"[14, 15]",[],0,,2026-01-25 08:13:43.303113,2026-01-27 03:01:52.825037,1,CHOICE_WATERPROOF_FABRIC
43,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CpbkZ,4,2,[15],[],0,,2026-01-25 18:57:10.515224,2026-01-27 03:01:52.825039,0,CHOICE_WATERPROOF_FABRIC
44,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CpblZ,4,5,[15],[],0,,2026-01-25 18:57:11.157116,2026-01-27 03:01:52.825041,0,CHOICE_WATERPROOF_FABRIC
45,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CpblPZ,4,5,"[14, 15]",[],0,,2026-01-25 18:57:11.404429,2026-01-27 03:01:52.825043,0,CHOICE_WATERPROOF_FABRIC
46,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CGpbkZ,4,2,[15],[],0,,2026-01-25 18:57:11.807449,2026-01-27 03:01:52.825045,1,CHOICE_WATERPROOF_FABRIC
47,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CGpblZ,4,5,[15],[],0,,2026-01-25 18:57:12.443665,2026-01-27 03:01:52.825048,1,CHOICE_WATERPROOF_FABRIC
48,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000CGpblPZ,4,5,"[14, 15]",[],0,,2026-01-25 18:57:12.710381,2026-01-27 03:01:52.825050,1,CHOICE_WATERPROOF_FABRIC
49,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LpbkZ,5,1,[15],[],0,,2026-01-25 18:57:44.373457,2026-01-27 03:01:52.825052,0,PREMIUM_SYNTHETIC_LEATHER
50,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LpbkPZ,5,1,"[14, 15]",[],0,,2026-01-25 18:57:44.450033,2026-01-27 03:01:52.825053,0,PREMIUM_SYNTHETIC_LEATHER
51,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LGpbkZ,5,1,[15],[],0,,2026-01-25 18:57:45.010825,2026-01-27 03:01:52.825055,1,PREMIUM_SYNTHETIC_LEATHER
52,4,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000LGpbkPZ,5,1,"[14, 15]",[],0,,2026-01-25 18:57:45.088139,2026-01-27 03:01:52.825057,1,PREMIUM_SYNTHETIC_LEATHER
